,ticker,value
361,HOG,Consumer Discretionary
362,SFIX,Consumer Discretionary
363,BODY,Consumer Discretionary
364,REI,Energy
365,REKR,Information Technology
366,PTRA,Industrials
367,EVFM,Health Care
368,DT,Information Technology
369,RAD,Consumer Staples
370,OVV,Energy
371,BTWN,
372,HTZZ,Industrials
373,GRWG,Consumer Discretionary
374,EOG,Energy
375,GSM,Materials
376,AHT,Real Estate
377,BARK,Consumer Discretionary
378,CCXI,Health Care
379,HON,Industrials
380,DD,Materials
381,SSYS,Information Technology
382,CPE,Energy
383,ZEV,Industrials
384,SYF,Financials
385,SPR,Industrials
386,PLAY,Consumer Discretionary
387,CF,Materials
388,XRX,Information Technology
389,ASAN,Information Technology
390,NTES,Communication Services
391,BIIB,Health Care
392,ENDP,Health Care
393,GLW,Information Technology
394,COF,Financials
395,COUP,Information Technology
396,MNKD,Health Care
397,DASH,Consumer Discretionary
398,PSTG,Information Technology
399,FINV,Financials
400,EBON,Information Technology
401,ALLY,Financials
402,LMT,Industrials
403,NVTA,Health Care
404,ME,Health Care
405,SESN,Health Care
406,BE,Industrials
407,RKLB,Industrials
408,SEAH,
409,MMM,Industrials
410,SPIR,Industrials
411,FE,Utilities
412,CRSP,Health Care
413,NOW,Information Technology
414,FL,Consumer Discretionary
415,GLNG,Energy
416,AMGN,Health Care
417,SWKS,Information Technology
418,CDE,Materials
419,IP,Materials
420,HEAR,Information Technology
421,KODK,Information Technology
422,GDS,Information Technology
423,BTCM,Information Technology
424,INMD,Health Care
425,VTNR,Energy
426,VXRT,Health Care
427,BOX,Information Technology
428,POWW,Consumer Discretionary
429,HTA,Real Estate
430,NTNX,Information Technology
431,APPH,Consumer Staples
432,ZEN,Information Technology
433,AMWL,Health Care
434,MP,Materials
435,STNG,Energy
436,MSTR,Information Technology
437,EXC,Utilities
438,DKS,Consumer Discretionary
439,TRIT,Information Technology
440,XP,Financials
441,FTCV,
442,TGTX,Health Care
443,WTRH,Consumer Discretionary
444,CPRI,Consumer Discretionary
445,CAH,Health Care
446,EVGO,Consumer Discretionary
447,MARK,Consumer Discretionary
448,YY,Communication Services
449,AFL,Financials
450,PBF,Energy
451,RF,Financials
452,WY,Real Estate
453,MNTS,Industrials
454,ACN,Information Technology
455,CXW,Industrials
456,MILE,Financials
457,CPB,Consumer Staples
458,DE,Industrials
459,EGHT,Information Technology
460,STNE,Information Technology
461,TFC,Financials
462,AES,Utilities
463,PRU,Financials
464,CIFR,Information Technology
465,STEM,Industrials
466,TEAM,Information Technology
467,MCMJ,
468,VUZI,Consumer Discretionary
469,STLD,Materials
470,RRC,Energy
471,EA,Communication Services
472,STX,Information Technology
473,CSTM,Materials
474,BKR,Energy
475,AEO,Consumer Discretionary
476,ASTR,Industrials
477,KBH,Consumer Discretionary
478,MAR,Consumer Discretionary
479,TMC,Materials
480,CDEV,Energy
481,MDLZ,Consumer Staples
482,ASO,Consumer Discretionary
483,KDMN,Health Care
484,PRTY,Consumer Discretionary
485,ASTS,Communication Services
486,MTTR,Information Technology
487,QD,Financials
488,SPOT,Communication Services
489,GEVO,Energy
490,KMPH,Health Care
491,KNDI,Consumer Discretionary
492,HUN,Materials
493,CMG,Consumer Discretionary
494,CANO,Health Care
495,AVYA,Information Technology
496,LIDR,Information Technology
497,FITB,Financials
498,CVM,Health Care
499,DUK,Utilities
500,CNC,Health Care
501,AI,Information Technology
502,MVST,Industrials
503,APO,Financials
504,RMO,Industrials
505,ATER,Consumer Discretionary
506,MAC,Real Estate
507,NUAN,Information Technology
508,WDAY,Information Technology
509,LMND,Financials
510,NMM,Industrials
511,GTE,Energy
512,TROX,Materials
513,MCHP,Information Technology
514,BKSY,Industrials
515,CLVS,Health Care
516,ADVM,Health Care
517,SBLK,Industrials
518,HYZN,Industrials
519,SRPT,Health Care
520,GPRE,Energy
521,ADMP,Health Care
522,MGI,Information Technology
523,RWT,Financials
524,LU,Financials
525,CLX,Consumer Staples
526,MELI,Consumer Discretionary
527,LOTZ,Consumer Discretionary
528,PPL,Utilities
529,MGNI,Communication Services
530,HUYA,Communication Services
531,GNW,Financials
532,CLSK,Information Technology
533,PNC,Financials
534,HPE,Information Technology
535,LEV,Industrials
536,PATH,Information Technology
537,YNDX,Communication Services
538,SKT,Real Estate
539,TTWO,Communication Services
540,GCI,Communication Services
541,NXPI,Information Technology
542,GWH,Industrials
543,GPN,Information Technology
544,OMER,Health Care
545,SO,Utilities
546,WU,Information Technology
547,NCR,Information Technology
548,IONQ,
549,JOBY,Industrials
550,PFSI,Financials
551,SFT,Consumer Discretionary
552,CTLP,Information Technology
553,PLBY,Consumer Discretionary
554,WATT,Industrials
555,WOLF,Information Technology
556,REAL,Consumer Discretionary
557,ALK,Industrials
558,WLL,Energy
559,NNOX,Health Care
560,ZIOP,Health Care
561,RDW,
562,TXMD,Health Care
563,SEDG,Information Technology
564,GES,Consumer Discretionary
565,AM,Energy
566,EDIT,Health Care
567,GERN,Health Care
568,BG,Consumer Staples
569,GDRX,Health Care
570,GSL,Industrials
571,ADSK,Information Technology
572,UXIN,Consumer Discretionary
573,RDFN,Real Estate
574,SYY,Consumer Staples
575,KMB,Consumer Staples
576,GIS,Consumer Staples
577,CARR,Industrials
578,NLS,Consumer Discretionary
579,ML,Financials
580,OPAD,
581,FIS,Information Technology
582,AKAM,Information Technology
583,AYX,Information Technology
584,VLTA,Consumer Discretionary
585,FIVN,Information Technology
586,CHTR,Communication Services
587,CI,Health Care
588,HIPO,Financials
589,MQ,Information Technology
