date,SPY
2021-02-09,386.4694
2021-02-10,386.3011
2021-02-11,386.925
2021-02-12,388.8363
2021-02-16,388.4996
2021-02-17,388.5887
2021-02-18,386.9349
2021-02-19,386.2516
2021-02-22,383.2806
2021-02-23,383.7461
2021-02-24,387.9747
2021-02-25,378.6262
2021-02-26,376.6752
2021-03-01,385.8059
2021-03-02,382.7954
2021-03-03,377.725
2021-03-04,373.0507
2021-03-05,379.9136
2021-03-08,378.0221
2021-03-09,383.4193
2021-03-10,385.8059
2021-03-11,389.7177
2021-03-12,390.2425
2021-03-15,392.5698
2021-03-16,392.0746
2021-03-17,393.4115
2021-03-18,387.6875
2021-03-19,386.97
2021-03-22,390.0599
2021-03-23,386.9898
2021-03-24,385.0226
2021-03-25,387.1885
2021-03-26,393.4281
2021-03-29,393.2294
2021-03-30,392.1861
2021-03-31,393.7758
2021-04-01,398.0282
2021-04-05,403.7412
2021-04-06,403.5027
2021-04-07,403.9697
2021-04-08,405.8873
2021-04-09,408.8381
2021-04-12,408.9872
2021-04-13,410.1993
2021-04-14,408.7984
2021-04-15,413.1899
2021-04-16,414.5709
2021-04-19,412.5341
2021-04-20,409.5137
2021-04-21,413.3886
2021-04-22,409.6131
2021-04-23,414.0543
2021-04-26,414.9187
2021-04-27,414.8293
2021-04-28,414.71
2021-04-29,417.3529
2021-04-30,414.6107
2021-05-03,415.5049
2021-05-04,412.9415
2021-05-05,413.0707
2021-05-06,416.3693
2021-05-07,419.3996
2021-05-10,415.2466
2021-05-11,411.5406
2021-05-12,402.7973
2021-05-13,407.6359
2021-05-14,413.8953
2021-05-17,412.8421
2021-05-18,409.2852
2021-05-19,408.2122
2021-05-20,412.6037
2021-05-21,412.2659
2021-05-24,416.4686
2021-05-25,415.5446
2021-05-26,416.3693
2021-05-27,416.5879
2021-05-28,417.333
2021-06-01,416.9654
2021-06-02,417.6211
2021-06-03,416.0712
2021-06-04,419.8765
2021-06-07,419.4692
2021-06-08,419.5586
2021-06-09,418.9326
2021-06-10,420.88
2021-06-11,421.5755
2021-06-14,422.5194
2021-06-15,421.7444
2021-06-16,419.3897
2021-06-17,419.2506
2021-06-18,413.5947
2021-06-21,419.5158
2021-06-22,421.7586
2021-06-23,421.2502
2021-06-24,423.7422
2021-06-25,425.2474
2021-06-28,426.1047
2021-06-29,426.3339
2021-06-30,426.6928
2021-07-01,429.0552
2021-07-02,432.3347
2021-07-06,431.5472
2021-07-07,433.0723
2021-07-08,429.5436
2021-07-09,434.1289
2021-07-12,435.684
2021-07-13,434.1987
2021-07-14,434.8466
2021-07-15,433.3614
2021-07-16,429.9623
2021-07-19,423.6126
2021-07-20,429.6832
2021-07-21,433.162
2021-07-22,434.0691
2021-07-23,438.5348
2021-07-26,439.6114
2021-07-27,437.6078
2021-07-28,437.4284
2021-07-29,439.2426
2021-07-30,437.1094
2021-08-02,436.1923
2021-08-03,439.741
2021-08-04,437.5779
2021-08-05,440.349
2021-08-06,441.0767
2021-08-09,440.7178
2021-08-10,441.2661
2021-08-11,442.3626
2021-08-12,443.6883
2021-08-13,444.4957
2021-08-16,445.5424
2021-08-17,442.6217
2021-08-18,437.7773
2021-08-19,438.4551
2021-08-20,441.9439
2021-08-23,445.8315
2021-08-24,446.5392
2021-08-25,447.4762
2021-08-26,444.8346
2021-08-27,448.8119
2021-08-30,450.7856
2021-08-31,450.1177
2021-09-01,450.357
2021-09-02,451.7425
