,t,f,v
239,VIAC US EQUITY,GICS SECTOR NAME,Communication Services
240,CLOV US EQUITY,GICS SECTOR NAME,Health Care
241,GME US EQUITY,GICS SECTOR NAME,Consumer Discretionary
242,DISCA US EQUITY,GICS SECTOR NAME,Communication Services
243,BIDU US EQUITY,GICS SECTOR NAME,Communication Services
244,QS US EQUITY,GICS SECTOR NAME,Consumer Discretionary
245,HOOD US EQUITY,GICS SECTOR NAME,Financials
246,CRM US EQUITY,GICS SECTOR NAME,Information Technology
247,RIOT US EQUITY,GICS SECTOR NAME,Information Technology
248,PCG US EQUITY,GICS SECTOR NAME,Utilities
249,GSAT US EQUITY,GICS SECTOR NAME,Communication Services
250,ADI US EQUITY,GICS SECTOR NAME,Information Technology
251,ISRG US EQUITY,GICS SECTOR NAME,Health Care
252,ROOT US EQUITY,GICS SECTOR NAME,Financials
253,TTCF US EQUITY,GICS SECTOR NAME,Consumer Staples
254,UNP US EQUITY,GICS SECTOR NAME,Industrials
255,TSN US EQUITY,GICS SECTOR NAME,Consumer Staples
256,XLNX US EQUITY,GICS SECTOR NAME,Information Technology
257,CAN US EQUITY,GICS SECTOR NAME,Information Technology
258,COMM US EQUITY,GICS SECTOR NAME,Information Technology
259,PSX US EQUITY,GICS SECTOR NAME,Energy
260,DBX US EQUITY,GICS SECTOR NAME,Information Technology
261,UNIT US EQUITY,GICS SECTOR NAME,Real Estate
262,WMB US EQUITY,GICS SECTOR NAME,Energy
263,GREE US EQUITY,GICS SECTOR NAME,Information Technology
264,TCOM US EQUITY,GICS SECTOR NAME,Consumer Discretionary
265,ATOS US EQUITY,GICS SECTOR NAME,Health Care
266,AIG US EQUITY,GICS SECTOR NAME,Financials
267,JWN US EQUITY,GICS SECTOR NAME,Consumer Discretionary
268,NYMT US EQUITY,GICS SECTOR NAME,Financials
269,CRTX US EQUITY,GICS SECTOR NAME,Health Care
270,DM US EQUITY,GICS SECTOR NAME,Industrials
271,DISH US EQUITY,GICS SECTOR NAME,Communication Services
272,GS US EQUITY,GICS SECTOR NAME,Financials
273,EPD US EQUITY,GICS SECTOR NAME,Energy
274,EXPE US EQUITY,GICS SECTOR NAME,Consumer Discretionary
275,SE US EQUITY,GICS SECTOR NAME,Communication Services
276,MGM US EQUITY,GICS SECTOR NAME,Consumer Discretionary
277,GOOGL US EQUITY,GICS SECTOR NAME,Communication Services
278,DOW US EQUITY,GICS SECTOR NAME,Materials
279,FUTU US EQUITY,GICS SECTOR NAME,Financials
280,INO US EQUITY,GICS SECTOR NAME,Health Care
281,AGC US EQUITY,GICS SECTOR NAME,
282,CLNE US EQUITY,GICS SECTOR NAME,Energy
283,SAVE US EQUITY,GICS SECTOR NAME,Industrials
284,BBY US EQUITY,GICS SECTOR NAME,Consumer Discretionary
285,PM US EQUITY,GICS SECTOR NAME,Consumer Staples
286,AGEN US EQUITY,GICS SECTOR NAME,Health Care
287,LLY US EQUITY,GICS SECTOR NAME,Health Care
288,UNH US EQUITY,GICS SECTOR NAME,Health Care
289,HYLN US EQUITY,GICS SECTOR NAME,Industrials
290,TGT US EQUITY,GICS SECTOR NAME,Consumer Discretionary
291,RIDE US EQUITY,GICS SECTOR NAME,Consumer Discretionary
292,MOS US EQUITY,GICS SECTOR NAME,Materials
293,JBLU US EQUITY,GICS SECTOR NAME,Industrials
294,IDEX US EQUITY,GICS SECTOR NAME,Industrials
295,HD US EQUITY,GICS SECTOR NAME,Consumer Discretionary
296,AUPH US EQUITY,GICS SECTOR NAME,Health Care
297,CAT US EQUITY,GICS SECTOR NAME,Industrials
298,MVIS US EQUITY,GICS SECTOR NAME,Information Technology
299,AGNC US EQUITY,GICS SECTOR NAME,Financials
300,RBLX US EQUITY,GICS SECTOR NAME,Communication Services
301,KSS US EQUITY,GICS SECTOR NAME,Consumer Discretionary
302,CZR US EQUITY,GICS SECTOR NAME,Consumer Discretionary
303,MUX US EQUITY,GICS SECTOR NAME,Materials
304,TRIP US EQUITY,GICS SECTOR NAME,Communication Services
305,TIGR US EQUITY,GICS SECTOR NAME,Financials
306,UWMC US EQUITY,GICS SECTOR NAME,Financials
307,CRSR US EQUITY,GICS SECTOR NAME,Information Technology
308,PEP US EQUITY,GICS SECTOR NAME,Consumer Staples
309,CTRA US EQUITY,GICS SECTOR NAME,Energy
310,CNC US EQUITY,GICS SECTOR NAME,Health Care
311,AI US EQUITY,GICS SECTOR NAME,Information Technology
312,MVST US EQUITY,GICS SECTOR NAME,Industrials
313,APO US EQUITY,GICS SECTOR NAME,Financials
314,RMO US EQUITY,GICS SECTOR NAME,Industrials
315,ATER US EQUITY,GICS SECTOR NAME,Consumer Discretionary
316,MAC US EQUITY,GICS SECTOR NAME,Real Estate
317,NUAN US EQUITY,GICS SECTOR NAME,Information Technology
