,t,f,v
915,DQ US EQUITY,GICS SECTOR NAME,Information Technology
916,GLBS US EQUITY,GICS SECTOR NAME,Industrials
917,LITE US EQUITY,GICS SECTOR NAME,Information Technology
918,ETRN US EQUITY,GICS SECTOR NAME,Energy
919,STAR US EQUITY,GICS SECTOR NAME,Real Estate
920,SEEL US EQUITY,GICS SECTOR NAME,Health Care
921,PERI US EQUITY,GICS SECTOR NAME,Communication Services
922,OEG US EQUITY,GICS SECTOR NAME,Industrials
923,WELL US EQUITY,GICS SECTOR NAME,Real Estate
924,GSKY US EQUITY,GICS SECTOR NAME,Information Technology
925,INFN US EQUITY,GICS SECTOR NAME,Information Technology
926,FLEX US EQUITY,GICS SECTOR NAME,Information Technology
927,S US EQUITY,GICS SECTOR NAME,Information Technology
928,CMI US EQUITY,GICS SECTOR NAME,Industrials
929,ALGN US EQUITY,GICS SECTOR NAME,Health Care
930,BBIO US EQUITY,GICS SECTOR NAME,Health Care
931,AVTR US EQUITY,GICS SECTOR NAME,Health Care
932,APD US EQUITY,GICS SECTOR NAME,Materials
933,RMBS US EQUITY,GICS SECTOR NAME,Information Technology
934,ISEE US EQUITY,GICS SECTOR NAME,Health Care
935,FAST US EQUITY,GICS SECTOR NAME,Industrials
936,PD US EQUITY,GICS SECTOR NAME,Information Technology
937,CURI US EQUITY,GICS SECTOR NAME,Communication Services
938,LW US EQUITY,GICS SECTOR NAME,Consumer Staples
939,PAYA US EQUITY,GICS SECTOR NAME,Information Technology
940,AXTA US EQUITY,GICS SECTOR NAME,Materials
941,CNX US EQUITY,GICS SECTOR NAME,Energy
942,IBIO US EQUITY,GICS SECTOR NAME,Health Care
943,CC US EQUITY,GICS SECTOR NAME,Materials
944,PHM US EQUITY,GICS SECTOR NAME,Consumer Discretionary
945,IMAX US EQUITY,GICS SECTOR NAME,Communication Services
946,ADM US EQUITY,GICS SECTOR NAME,Consumer Staples
947,AEP US EQUITY,GICS SECTOR NAME,Utilities
948,TPGY US EQUITY,GICS SECTOR NAME,
949,ATIP US EQUITY,GICS SECTOR NAME,Health Care
950,A US EQUITY,GICS SECTOR NAME,Health Care
951,AQMS US EQUITY,GICS SECTOR NAME,Industrials
952,GAN US EQUITY,GICS SECTOR NAME,Consumer Discretionary
953,OTIS US EQUITY,GICS SECTOR NAME,Industrials
954,VMEO US EQUITY,GICS SECTOR NAME,Communication Services
955,YEXT US EQUITY,GICS SECTOR NAME,Information Technology
956,SM US EQUITY,GICS SECTOR NAME,Energy
957,KERN US EQUITY,GICS SECTOR NAME,Industrials
958,OMF US EQUITY,GICS SECTOR NAME,Financials
959,XM US EQUITY,GICS SECTOR NAME,Information Technology
960,ARWR US EQUITY,GICS SECTOR NAME,Health Care
961,ACEV US EQUITY,GICS SECTOR NAME,
962,NDAQ US EQUITY,GICS SECTOR NAME,Financials
963,CHNG US EQUITY,GICS SECTOR NAME,Health Care
964,CG US EQUITY,GICS SECTOR NAME,Financials
965,APPN US EQUITY,GICS SECTOR NAME,Information Technology
966,ALKS US EQUITY,GICS SECTOR NAME,Health Care
967,FTI US EQUITY,GICS SECTOR NAME,Energy
968,GD US EQUITY,GICS SECTOR NAME,Industrials
969,VICI US EQUITY,GICS SECTOR NAME,Real Estate
970,XOS US EQUITY,GICS SECTOR NAME,Industrials
971,ANTM US EQUITY,GICS SECTOR NAME,Health Care
972,TGH US EQUITY,GICS SECTOR NAME,Industrials
973,SEAS US EQUITY,GICS SECTOR NAME,Consumer Discretionary
974,AMPE US EQUITY,GICS SECTOR NAME,Health Care
975,SDGR US EQUITY,GICS SECTOR NAME,Health Care
976,SHCR US EQUITY,GICS SECTOR NAME,Health Care
977,RFL US EQUITY,GICS SECTOR NAME,Real Estate
978,FHN US EQUITY,GICS SECTOR NAME,Financials
979,VERU US EQUITY,GICS SECTOR NAME,Consumer Staples
980,WPC US EQUITY,GICS SECTOR NAME,Real Estate
981,SSSS US EQUITY,GICS SECTOR NAME,Financials
982,FLXN US EQUITY,GICS SECTOR NAME,Health Care
983,CELU US EQUITY,GICS SECTOR NAME,Health Care
984,PFGC US EQUITY,GICS SECTOR NAME,Consumer Staples
985,CMRE US EQUITY,GICS SECTOR NAME,Industrials
986,COUR US EQUITY,GICS SECTOR NAME,Consumer Discretionary
987,CLDX US EQUITY,GICS SECTOR NAME,Health Care
988,TNK US EQUITY,GICS SECTOR NAME,Energy
989,MCF US EQUITY,GICS SECTOR NAME,Energy
990,USFD US EQUITY,GICS SECTOR NAME,Consumer Staples
991,BEST US EQUITY,GICS SECTOR NAME,Industrials
992,CELH US EQUITY,GICS SECTOR NAME,Consumer Staples
993,AJRD US EQUITY,GICS SECTOR NAME,Industrials
994,CDNS US EQUITY,GICS SECTOR NAME,Information Technology
995,RACE US EQUITY,GICS SECTOR NAME,Consumer Discretionary
996,ELAN US EQUITY,GICS SECTOR NAME,Health Care
997,MRIN US EQUITY,GICS SECTOR NAME,Information Technology
998,VSTO US EQUITY,GICS SECTOR NAME,Consumer Discretionary
999,VHC US EQUITY,GICS SECTOR NAME,Information Technology
1000,NOVA US EQUITY,GICS SECTOR NAME,Utilities
1001,OGN US EQUITY,GICS SECTOR NAME,Health Care
1002,ESPR US EQUITY,GICS SECTOR NAME,Health Care
1003,IONS US EQUITY,GICS SECTOR NAME,Health Care
1004,ATAI US EQUITY,GICS SECTOR NAME,Health Care
1005,THO US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1006,EVRI US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1007,MAS US EQUITY,GICS SECTOR NAME,Industrials
1008,ALT US EQUITY,GICS SECTOR NAME,Health Care
1009,CERS US EQUITY,GICS SECTOR NAME,Health Care
1010,BYD US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1011,ESRT US EQUITY,GICS SECTOR NAME,Real Estate
1012,KRYS US EQUITY,GICS SECTOR NAME,Health Care
1013,SOHU US EQUITY,GICS SECTOR NAME,Communication Services
1014,IR US EQUITY,GICS SECTOR NAME,Industrials
1015,ATI US EQUITY,GICS SECTOR NAME,Materials
1016,ALLT US EQUITY,GICS SECTOR NAME,Information Technology
1017,INFI US EQUITY,GICS SECTOR NAME,Health Care
1018,VRAY US EQUITY,GICS SECTOR NAME,Health Care
1019,RWLK US EQUITY,GICS SECTOR NAME,Health Care
1020,SB US EQUITY,GICS SECTOR NAME,Industrials
1021,ENG US EQUITY,GICS SECTOR NAME,Energy
1022,PACB US EQUITY,GICS SECTOR NAME,Health Care
1023,ICPT US EQUITY,GICS SECTOR NAME,Health Care
1024,PARR US EQUITY,GICS SECTOR NAME,Energy
1025,ZTO US EQUITY,GICS SECTOR NAME,Industrials
1026,WB US EQUITY,GICS SECTOR NAME,Communication Services
1027,PLNT US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1028,MUR US EQUITY,GICS SECTOR NAME,Energy
1029,VKTX US EQUITY,GICS SECTOR NAME,Health Care
1030,CERN US EQUITY,GICS SECTOR NAME,Health Care
1031,DSX US EQUITY,GICS SECTOR NAME,Industrials
1032,MCK US EQUITY,GICS SECTOR NAME,Health Care
1033,ETWO US EQUITY,GICS SECTOR NAME,Information Technology
1034,AVXL US EQUITY,GICS SECTOR NAME,Health Care
1035,ROVR US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1036,TER US EQUITY,GICS SECTOR NAME,Information Technology
1037,WHR US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1038,TEN US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1039,OSCR US EQUITY,GICS SECTOR NAME,Financials
1040,VISL US EQUITY,GICS SECTOR NAME,Information Technology
1041,UAMY US EQUITY,GICS SECTOR NAME,Materials
1042,FUN US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1043,NSC US EQUITY,GICS SECTOR NAME,Industrials
1044,RKLY US EQUITY,GICS SECTOR NAME,Information Technology
1045,TWOU US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1046,SNCR US EQUITY,GICS SECTOR NAME,Information Technology
1047,PRPL US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1048,KOS US EQUITY,GICS SECTOR NAME,Energy
1049,BLL US EQUITY,GICS SECTOR NAME,Materials
1050,TNL US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1051,EFX US EQUITY,GICS SECTOR NAME,Industrials
1052,APTV US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1053,TTI US EQUITY,GICS SECTOR NAME,Energy
1054,IMMR US EQUITY,GICS SECTOR NAME,Information Technology
1055,NCTY US EQUITY,GICS SECTOR NAME,Communication Services
1056,CMRX US EQUITY,GICS SECTOR NAME,Health Care
1057,AKBA US EQUITY,GICS SECTOR NAME,Health Care
1058,MANU US EQUITY,GICS SECTOR NAME,Communication Services
1059,NCMI US EQUITY,GICS SECTOR NAME,Communication Services
1060,ETN US EQUITY,GICS SECTOR NAME,Industrials
1061,TWNK US EQUITY,GICS SECTOR NAME,Consumer Staples
1062,AREC US EQUITY,GICS SECTOR NAME,Energy
1063,ENVX US EQUITY,GICS SECTOR NAME,Industrials
1064,HYRE US EQUITY,GICS SECTOR NAME,Industrials
1065,MAXN US EQUITY,GICS SECTOR NAME,Information Technology
1066,KVSB US EQUITY,GICS SECTOR NAME,
1067,RIGL US EQUITY,GICS SECTOR NAME,Health Care
1068,AYRO US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1069,QGEN US EQUITY,GICS SECTOR NAME,Health Care
1070,HIG US EQUITY,GICS SECTOR NAME,Financials
1071,TSP US EQUITY,GICS SECTOR NAME,Industrials
1072,TRVN US EQUITY,GICS SECTOR NAME,Health Care
1073,IMVT US EQUITY,GICS SECTOR NAME,Health Care
1074,LX US EQUITY,GICS SECTOR NAME,Financials
1075,BILL US EQUITY,GICS SECTOR NAME,Information Technology
1076,HGEN US EQUITY,GICS SECTOR NAME,Health Care
1077,ACM US EQUITY,GICS SECTOR NAME,Industrials
1078,TGNA US EQUITY,GICS SECTOR NAME,Communication Services
1079,SWCH US EQUITY,GICS SECTOR NAME,Information Technology
1080,CNDT US EQUITY,GICS SECTOR NAME,Information Technology
1081,IO US EQUITY,GICS SECTOR NAME,Energy
1082,LL US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1083,DOLE US EQUITY,GICS SECTOR NAME,Consumer Staples
1084,SYK US EQUITY,GICS SECTOR NAME,Health Care
1085,RVLV US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1086,QDEL US EQUITY,GICS SECTOR NAME,Health Care
1087,PMT US EQUITY,GICS SECTOR NAME,Financials
1088,SAGE US EQUITY,GICS SECTOR NAME,Health Care
1089,AQB US EQUITY,GICS SECTOR NAME,Health Care
1090,RADA US EQUITY,GICS SECTOR NAME,Industrials
1091,DBI US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1092,GDOT US EQUITY,GICS SECTOR NAME,Financials
1093,RL US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1094,SUMO US EQUITY,GICS SECTOR NAME,Information Technology
1095,EB US EQUITY,GICS SECTOR NAME,Communication Services
1096,WGO US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1097,ADNT US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1098,VZIO US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1099,ZGNX US EQUITY,GICS SECTOR NAME,Health Care
1100,VNO US EQUITY,GICS SECTOR NAME,Real Estate
1101,ZY US EQUITY,GICS SECTOR NAME,Materials
1102,WWR US EQUITY,GICS SECTOR NAME,Industrials
1103,CCK US EQUITY,GICS SECTOR NAME,Materials
1104,ACIW US EQUITY,GICS SECTOR NAME,Information Technology
1105,EHC US EQUITY,GICS SECTOR NAME,Health Care
1106,SRAX US EQUITY,GICS SECTOR NAME,Information Technology
1107,BFI US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1108,ZTS US EQUITY,GICS SECTOR NAME,Health Care
1109,CCV US EQUITY,GICS SECTOR NAME,
1110,GNK US EQUITY,GICS SECTOR NAME,Industrials
1111,ELMS US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1112,OMI US EQUITY,GICS SECTOR NAME,Health Care
1113,PCAR US EQUITY,GICS SECTOR NAME,Industrials
1114,CALA US EQUITY,GICS SECTOR NAME,Health Care
1115,EXEL US EQUITY,GICS SECTOR NAME,Health Care
1116,GENI US EQUITY,GICS SECTOR NAME,Communication Services
1117,TUP US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1118,BCLI US EQUITY,GICS SECTOR NAME,Health Care
1119,AAP US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1120,KIRK US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1121,PLX US EQUITY,GICS SECTOR NAME,Health Care
1122,CENX US EQUITY,GICS SECTOR NAME,Materials
1123,RXT US EQUITY,GICS SECTOR NAME,Information Technology
1124,FIVE US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1125,POST US EQUITY,GICS SECTOR NAME,Consumer Staples
1126,JAZZ US EQUITY,GICS SECTOR NAME,Health Care
1127,QFIN US EQUITY,GICS SECTOR NAME,Financials
1128,HRB US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1129,BDSI US EQUITY,GICS SECTOR NAME,Health Care
1130,CB US EQUITY,GICS SECTOR NAME,Financials
1131,KMX US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1132,KNX US EQUITY,GICS SECTOR NAME,Industrials
1133,HAS US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1134,CNHI US EQUITY,GICS SECTOR NAME,Industrials
1135,PWR US EQUITY,GICS SECTOR NAME,Industrials
1136,CLSD US EQUITY,GICS SECTOR NAME,Health Care
1137,ARDX US EQUITY,GICS SECTOR NAME,Health Care
1138,ENLC US EQUITY,GICS SECTOR NAME,Energy
1139,FBRX US EQUITY,GICS SECTOR NAME,Health Care
1140,PAGP US EQUITY,GICS SECTOR NAME,Energy
1141,OSH US EQUITY,GICS SECTOR NAME,Health Care
1142,MKFG US EQUITY,GICS SECTOR NAME,Industrials
1143,DAC US EQUITY,GICS SECTOR NAME,Industrials
1144,CODX US EQUITY,GICS SECTOR NAME,Health Care
1145,NYCB US EQUITY,GICS SECTOR NAME,Financials
1146,QURE US EQUITY,GICS SECTOR NAME,Health Care
1147,CPLG US EQUITY,GICS SECTOR NAME,Real Estate
1148,BLK US EQUITY,GICS SECTOR NAME,Financials
1149,WOOF US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1150,NRDY US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1151,DNMR US EQUITY,GICS SECTOR NAME,Materials
1152,JCI US EQUITY,GICS SECTOR NAME,Industrials
1153,AER US EQUITY,GICS SECTOR NAME,Industrials
1154,O US EQUITY,GICS SECTOR NAME,Real Estate
1155,SUNL US EQUITY,GICS SECTOR NAME,Financials
1156,PK US EQUITY,GICS SECTOR NAME,Real Estate
1157,CRNT US EQUITY,GICS SECTOR NAME,Information Technology
1158,YELL US EQUITY,GICS SECTOR NAME,Industrials
1159,ATOM US EQUITY,GICS SECTOR NAME,Information Technology
1160,WEBR US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1161,URBN US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1162,EOSE US EQUITY,GICS SECTOR NAME,Industrials
1163,RVNC US EQUITY,GICS SECTOR NAME,Health Care
1164,RAMP US EQUITY,GICS SECTOR NAME,Information Technology
1165,ADS US EQUITY,GICS SECTOR NAME,Information Technology
1166,RRD US EQUITY,GICS SECTOR NAME,Industrials
1167,EL US EQUITY,GICS SECTOR NAME,Consumer Staples
1168,APLS US EQUITY,GICS SECTOR NAME,Health Care
1169,ARR US EQUITY,GICS SECTOR NAME,Financials
1170,AMPY US EQUITY,GICS SECTOR NAME,Energy
1171,CONE US EQUITY,GICS SECTOR NAME,Real Estate
1172,BLUE US EQUITY,GICS SECTOR NAME,Health Care
1173,EXPI US EQUITY,GICS SECTOR NAME,Real Estate
1174,WSM US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1175,SUNW US EQUITY,GICS SECTOR NAME,Industrials
1176,CRTO US EQUITY,GICS SECTOR NAME,Communication Services
1177,HUBS US EQUITY,GICS SECTOR NAME,Information Technology
1178,PING US EQUITY,GICS SECTOR NAME,Information Technology
1179,HOLX US EQUITY,GICS SECTOR NAME,Health Care
1180,ALTU US EQUITY,GICS SECTOR NAME,
1181,DSKE US EQUITY,GICS SECTOR NAME,Industrials
1182,LESL US EQUITY,GICS SECTOR NAME,Consumer Discretionary
1183,AON US EQUITY,GICS SECTOR NAME,Financials
1184,CNR US EQUITY,GICS SECTOR NAME,Industrials
1185,VLD US EQUITY,GICS SECTOR NAME,Industrials
1186,IBKR US EQUITY,GICS SECTOR NAME,Financials
1187,CARA US EQUITY,GICS SECTOR NAME,Health Care
1188,QTNT US EQUITY,GICS SECTOR NAME,Health Care
1189,SMFR US EQUITY,GICS SECTOR NAME,Health Care
1190,CRVS US EQUITY,GICS SECTOR NAME,Health Care
1191,HFC US EQUITY,GICS SECTOR NAME,Energy
1192,CBRE US EQUITY,GICS SECTOR NAME,Real Estate
1193,LH US EQUITY,GICS SECTOR NAME,Health Care
1194,CBAT US EQUITY,GICS SECTOR NAME,Industrials
