,ticker,value
305,T,Diversified Telecommunication
306,AMD,Semiconductors & Semiconductor
307,PLTR,Software
308,AAL,Airlines
309,NIO,Automobiles
310,CNC,Health Care Providers & Servic
311,AI,Software
312,MVST,Machinery
313,APO,Capital Markets
314,RMO,Electrical Equipment
315,ATER,Household Durables
316,MAC,Equity Real Estate Investment
317,NUAN,Software
318,WDAY,Software
319,LMND,Insurance
320,SPIR,Professional Services
321,FE,Electric Utilities
322,CRSP,Biotechnology
323,NOW,Software
324,FL,Specialty Retail
325,GLNG,"Oil, Gas & Consumable Fuels"
326,AMGN,Biotechnology
327,SWKS,Semiconductors & Semiconductor
328,CDE,Metals & Mining
329,IP,Containers & Packaging
330,NTES,Entertainment
331,BIIB,Biotechnology
332,ENDP,Pharmaceuticals
333,GLW,"Electronic Equipment, Instrume"
334,COF,Consumer Finance
335,COUP,Software
336,MNKD,Biotechnology
337,DASH,Internet & Direct Marketing Re
338,PSTG,"Technology Hardware, Storage &"
339,FINV,Consumer Finance
340,WE,
341,GRPN,Internet & Direct Marketing Re
342,MFA,Mortgage Real Estate Investmen
343,APPS,Software
344,UEC,"Oil, Gas & Consumable Fuels"
345,DHI,Household Durables
346,KEY,Banks
347,DLTR,Multiline Retail
348,NAT,"Oil, Gas & Consumable Fuels"
349,MOMO,Interactive Media & Services
350,XP,Capital Markets
351,FTCV,
352,TGTX,Biotechnology
353,WTRH,Internet & Direct Marketing Re
354,CPRI,"Textiles, Apparel & Luxury Goo"
355,CAH,Health Care Providers & Servic
356,EVGO,Specialty Retail
357,MARK,Internet & Direct Marketing Re
358,YY,Interactive Media & Services
359,AFL,Insurance
360,GPRO,Household Durables
361,INSG,Communications Equipment
362,VRM,Specialty Retail
363,QRTEA,Internet & Direct Marketing Re
364,VLDR,"Electronic Equipment, Instrume"
365,DHR,Life Sciences Tools & Services
366,NXTD,Software
367,WEN,"Hotels, Restaurants & Leisure"
368,LEN,Household Durables
369,BLMN,"Hotels, Restaurants & Leisure"
370,RRC,"Oil, Gas & Consumable Fuels"
371,EA,Entertainment
372,STX,"Technology Hardware, Storage &"
373,CSTM,Metals & Mining
374,BKR,Energy Equipment & Services
375,AEO,Specialty Retail
376,ASTR,Aerospace & Defense
377,KBH,Household Durables
378,MAR,"Hotels, Restaurants & Leisure"
379,TMC,Metals & Mining
380,OVV,"Oil, Gas & Consumable Fuels"
381,BTWN,
382,HTZZ,Road & Rail
383,GRWG,Specialty Retail
384,EOG,"Oil, Gas & Consumable Fuels"
385,GSM,Metals & Mining
386,AHT,Equity Real Estate Investment
387,BARK,Internet & Direct Marketing Re
388,CCXI,Biotechnology
389,HON,Industrial Conglomerates
390,HUYA,Entertainment
391,GNW,Insurance
392,CLSK,Software
393,PNC,Banks
394,HPE,"Technology Hardware, Storage &"
395,LEV,Machinery
396,PATH,Software
397,YNDX,Interactive Media & Services
398,SKT,Equity Real Estate Investment
399,TTWO,Entertainment
400,STNE,IT Services
401,TFC,Banks
402,AES,Independent Power and Renewabl
403,PRU,Insurance
404,CIFR,Software
405,STEM,Electrical Equipment
406,TEAM,Software
407,MCMJ,
408,VUZI,Household Durables
409,STLD,Metals & Mining
410,NTNX,Software
411,APPH,Food Products
412,ZEN,Software
413,AMWL,Health Care Technology
414,MP,Metals & Mining
415,STNG,"Oil, Gas & Consumable Fuels"
416,MSTR,Software
417,EXC,Electric Utilities
418,DKS,Specialty Retail
419,TRIT,Software
420,FLR,Construction & Engineering
421,HOG,Automobiles
422,SFIX,Internet & Direct Marketing Re
423,BODY,Diversified Consumer Services
424,REI,"Oil, Gas & Consumable Fuels"
425,REKR,Software
426,PTRA,Machinery
427,EVFM,Pharmaceuticals
428,DT,Software
429,RAD,Food & Staples Retailing
430,HLT,"Hotels, Restaurants & Leisure"
431,DDD,"Technology Hardware, Storage &"
432,ELY,Leisure Products
433,MMAT,Semiconductors & Semiconductor
434,CNK,Entertainment
435,CMPS,Biotechnology
436,OKTA,IT Services
437,GT,Auto Components
438,KPLT,Consumer Finance
439,SONO,Household Durables
440,PBF,"Oil, Gas & Consumable Fuels"
441,RF,Banks
442,WY,Equity Real Estate Investment
443,MNTS,Aerospace & Defense
444,ACN,IT Services
445,CXW,Commercial Services & Supplies
446,MILE,Insurance
447,CPB,Food Products
448,DE,Machinery
449,EGHT,Software
450,OTLY,Food Products
451,XSPA,Diversified Consumer Services
452,BBWI,Specialty Retail
453,DWAC,
454,LRCX,Semiconductors & Semiconductor
455,XL,Auto Components
456,PXD,"Oil, Gas & Consumable Fuels"
457,RBAC,
458,LC,Consumer Finance
459,SOLO,Automobiles
460,CDEV,"Oil, Gas & Consumable Fuels"
461,MDLZ,Food Products
462,ASO,Specialty Retail
463,KDMN,Biotechnology
464,PRTY,Specialty Retail
